BlobID,Compound Name,Category,Label,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library ID,Library Match Factor,Library Reverse Match Factor,Library Name,Library Probability,Library RI,Library Formula
428,"1,15-Pentadecanediol",Unknown,,,FALSE,0,37.33335872,0.579999959,21005,221801,19390,841,905,mainlib,4.010000229,,C15H32O2
613,"3H,4H-Pyrrolo[1,2-a]pyrazine",Unknown,,,FALSE,0,24.08335965,3.669999743,7826,225599,101624,610,622,mainlib,18.14999962,,C7H8N2
458,"2-Nonenal, (Z)-",Natural Marine,,marine,TRUE,0,27.41669275,1.27999991,17441,236268,2062,898,914,mainlib,52.22999954,1148,C9H16O
485,Heptanonitrile,Natural Marine,,m_not_marine,TRUE,0,19.91669327,1.619999887,14841,250347,3679,864,866,mainlib,73.56999969,988,C7H13N
442,7-Octene-1-nitrile,Unknown,,m_not_marine,FALSE,0,23.91669299,1.609999887,18779,251579,21013,870,888,mainlib,87.75,,C8H13N
607,Pentanedinitrile,Natural Marine,,m_not_marine,TRUE,0,23.3333597,4.299999699,8012,255795,2613,884,892,mainlib,92.90000153,,C5H6N2
145,"2-Methoxy-5-methylphenol, 2-methylpropyl ether",Unknown,,,FALSE,0,32.00002576,0.929999935,36281,258875,124810,794,819,mainlib,31.85000038,,C12H18O2
475,Benzonitrile,Unknown,,marine- in fb but way more in sample,TRUE,0,20.25002658,1.539999892,15638,263174,76518,906,910,mainlib,27.51000023,985,C7H5N
506,"5,9-Undecadien-2-one, 6,10-dimethyl-",Unknown,,,FALSE,0,37.41669205,1.019999929,13284,266447,8476,853,889,mainlib,47.65000153,1456,C13H22O
404,"2-Decen-1-ol, (E)-",Unknown,,,FALSE,0,27.75002606,1.019999929,21877,271674,23472,817,831,mainlib,6.130000114,1257,C10H20O
417,Octanoic acid,Natural Marine,,orbitrap,TRUE,0,27.5833594,0.839999941,21557,276406,30962,798,845,mainlib,74.70999908,1180,C8H16O2
